State,District,Zone,Confirmed,Active,Recovered,Deceased
Chandigarh,Chandigarh,Red,61997,35,61151,811
Chhattisgarh,Balod,Green,27256,23,26837,396
Chhattisgarh,Baloda Bazar,Green,43005,124,42411,470
Chhattisgarh,Balrampur,Green,20276,30,20128,118
Chhattisgarh,Bametara,Green,19943,6,19701,236
Chhattisgarh,Bastar,Green,20927,154,20585,188
Chhattisgarh,Bijapur,Green,8255,50,8151,54
Chhattisgarh,Bilaspur,Green,65457,82,64170,1205
Chhattisgarh,Dakshin Bastar Dantewada,Green,10746,30,10692,24
Chhattisgarh,Dhamtari,Green,27188,33,26611,544
Chhattisgarh,Durg,Green,96644,127,94723,1794
Chhattisgarh,Gariaband,Green,19668,22,19452,194
Chhattisgarh,Gaurela Pendra Marwahi,,12005,13,11846,146
Chhattisgarh,Janjgir Champa,Green,57429,102,56497,830
Chhattisgarh,Jashpur,Green,26924,92,26620,212
Chhattisgarh,Kabeerdham,Green,22768,9,22492,267
Chhattisgarh,Kondagaon,Green,13062,24,12939,99
Chhattisgarh,Korba,Orange,54569,66,53928,575
Chhattisgarh,Koriya,Green,26918,41,26702,175
Chhattisgarh,Mahasamund,Green,31319,33,30922,364
Chhattisgarh,Mungeli,Green,23891,14,23710,167
Chhattisgarh,Narayanpur,Green,4003,30,3959,14
Chhattisgarh,Other State,,766,19,616,131
Chhattisgarh,Raigarh,Green,62463,60,61425,978
Chhattisgarh,Raipur,Red,157796,121,154536,3139
Chhattisgarh,Rajnandgaon,Green,56011,12,55485,514
Chhattisgarh,Sukma,Green,7967,48,7899,20
Chhattisgarh,Surajpur,Green,29015,40,28751,224
Chhattisgarh,Surguja,Green,33638,34,33359,245
Chhattisgarh,Uttar Bastar Kanker,Green,23530,118,23190,222
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Orange,5905,8,5894,3
Dadra and Nagar Haveli and Daman and Diu,Daman,Green,3534,27,3506,1
Dadra and Nagar Haveli and Daman and Diu,Diu,Green,1218,3,1215,0
Dadra and Nagar Haveli and Daman and Diu,Other State,,0,0,0,0
Delhi,Central Delhi,Red,184,184,0,0
Delhi,East Delhi,Red,38,38,0,0
Delhi,New Delhi,Red,37,37,0,0
Delhi,North Delhi,Red,60,60,0,0
Delhi,North East Delhi,Red,25,25,0,0
Delhi,North West Delhi,Red,32,31,0,1
Delhi,Shahdara,Red,48,48,0,0
Delhi,South Delhi,Red,70,70,0,0
Delhi,South East Delhi,Red,130,130,0,0
Delhi,South West Delhi,Red,42,42,0,0
Delhi,Unknown,,1436101,-293,1411327,25067
Delhi,West Delhi,Red,122,122,0,0
Goa,North Goa,Green,2668,1639,964,65
Goa,Other State,,200,9,190,1
Goa,South Goa,Green,3511,1978,1407,126
Goa,Unknown,,165809,-2643,165480,2972
Gujarat,Ahmedabad,Red,238022,61,234550,3411
Gujarat,Amreli,Green,10806,4,10700,102
Gujarat,Anand,Orange,9623,5,9569,49
Gujarat,Aravalli,Orange,5183,0,5105,78
Gujarat,Banaskantha,Orange,13631,0,13469,162
Gujarat,Bharuch,Orange,11425,3,11304,118
Gujarat,Bhavnagar,Orange,21413,4,21109,300
Gujarat,Botad,Orange,2218,1,2175,42
Gujarat,Chhota Udaipur,Orange,3395,0,3357,38
Gujarat,Dahod,Green,9943,2,9903,38
Gujarat,Dang,Green,864,0,846,18
Gujarat,Devbhumi Dwarka,Green,4172,0,4090,82
Gujarat,Gandhinagar,Orange,20740,7,20528,205
Gujarat,Gir Somnath,Orange,8555,2,8486,67
Gujarat,Jamnagar,Green,34949,7,34465,477
Gujarat,Junagadh,Green,20469,4,20194,271
Gujarat,Kheda,Orange,10422,5,10369,48
Gujarat,Kutch,Orange,12587,1,12441,145
Gujarat,Mahisagar,Orange,8192,1,8119,72
Gujarat,Mehsana,Orange,24414,5,24232,177
Gujarat,Morbi,Green,6502,0,6415,87
Gujarat,Narmada,Green,5952,0,5937,15
Gujarat,Navsari,Green,7155,3,7128,24
Gujarat,Other State,,162,0,159,3
Gujarat,Panchmahal,Orange,11770,0,11700,70
Gujarat,Patan,Orange,11624,2,11493,129
Gujarat,Porbandar,Green,3474,0,3455,19
Gujarat,Rajkot,Orange,57920,14,57183,723
Gujarat,Sabarkantha,Orange,9314,0,9157,157
Gujarat,Surat,Red,143490,17,141519,1954
Gujarat,Surendranagar,Green,8121,0,7985,136
Gujarat,Tapi,Green,4438,2,4413,23
Gujarat,Vadodara,Red,77912,43,77081,788
Gujarat,Valsad,Green,6244,1,6194,49
Haryana,Ambala,Orange,30104,12,29583,509
Haryana,Bhiwani,Orange,22394,49,21740,605
Haryana,Charkhi Dadri,Orange,5068,4,4932,132
Haryana,Faridabad,Red,99801,24,99061,716
Haryana,Fatehabad,Orange,17858,13,17382,463
Haryana,Foreign Evacuees,,0,0,0,0
Haryana,Gurugram,Orange,180972,74,179978,920
Haryana,Hisar,Orange,53976,103,52834,1039
Haryana,Italians,,0,0,0,0
Haryana,Jhajjar,Orange,18827,22,18500,305
Haryana,Jind,Orange,21202,16,20664,522
Haryana,Kaithal,Orange,11218,20,10860,338
Haryana,Karnal,Orange,39999,40,39413,546
Haryana,Kurukshetra,Orange,22114,7,21751,356
Haryana,Mahendragarh,Orange,21687,1,21533,153
Haryana,Nuh,Orange,5010,1,4889,120
Haryana,Palwal,Orange,10981,3,10825,153
Haryana,Panchkula,Orange,30656,25,30257,374
Haryana,Panipat,Orange,31135,91,30479,565
Haryana,Rewari,Green,20304,20,20075,209
Haryana,Rohtak,Orange,25876,88,25289,499
Haryana,Sirsa,Orange,29256,51,28738,467
Haryana,Sonipat,Red,47126,2,46870,254
Haryana,Yamunanagar,Orange,24566,4,24154,408
Himachal Pradesh,Bilaspur,Green,13084,153,12852,79
Himachal Pradesh,Chamba,Orange,12805,654,12000,151
Himachal Pradesh,Hamirpur,Orange,14821,263,14301,257
Himachal Pradesh,Kangra,Orange,46790,389,45357,1044
Himachal Pradesh,Kinnaur,Green,3337,27,3272,38
Himachal Pradesh,Kullu,Green,9294,156,8984,154
Himachal Pradesh,Lahaul and Spiti,Green,2811,53,2740,18
Himachal Pradesh,Mandi,Green,28651,437,27809,405
Himachal Pradesh,Shimla,Orange,26052,328,25116,608
Himachal Pradesh,Sirmaur,Orange,15388,17,15161,210
Himachal Pradesh,Solan,Orange,22459,39,22106,314
Himachal Pradesh,Una,Orange,13498,58,13195,245
Jammu and Kashmir,Anantnag,Red,16346,24,16117,205
Jammu and Kashmir,Bandipora,Red,9531,57,9374,100
Jammu and Kashmir,Baramulla,Red,23736,88,23366,282
Jammu and Kashmir,Budgam,Red,22984,73,22705,206
Jammu and Kashmir,Doda,Green,7374,111,7135,128
Jammu and Kashmir,Ganderbal,Red,9989,69,9842,78
Jammu and Kashmir,Jammu,Red,52877,136,51601,1140
Jammu and Kashmir,Kathua,Red,9268,4,9113,151
Jammu and Kashmir,Kishtwar,Green,4695,50,4601,44
Jammu and Kashmir,Kulgam,Red,11312,32,11163,117
Jammu and Kashmir,Kupwara,Red,14137,47,13925,165
Jammu and Kashmir,Mirpur,,0,0,0,0
Jammu and Kashmir,Muzaffarabad,,0,0,0,0
Jammu and Kashmir,Pulwama,Red,15240,47,14999,194
Jammu and Kashmir,Punch,Green,6285,31,6157,97
Jammu and Kashmir,Rajouri,Orange,11006,71,10707,228
Jammu and Kashmir,Ramban,Orange,5980,18,5895,67
Jammu and Kashmir,Reasi,Orange,6336,68,6225,43
Jammu and Kashmir,Samba,Red,7127,6,7002,119
Jammu and Kashmir,Shopiyan,Red,5588,4,5526,58
Jammu and Kashmir,Srinagar,Red,71719,309,70576,834
Jammu and Kashmir,Udhampur,Orange,11355,52,11166,137
Jharkhand,Bokaro,Orange,19413,4,19123,286
Jharkhand,Chatra,Green,6025,1,5971,53
Jharkhand,Deoghar,Orange,10801,11,10677,113
Jharkhand,Dhanbad,Orange,16503,24,16100,379
Jharkhand,Dumka,Green,4631,1,4583,47
Jharkhand,East Singhbhum,Green,51780,11,50726,1043
Jharkhand,Garhwa,Orange,6884,1,6789,94
Jharkhand,Giridih,Orange,8959,2,8827,130
Jharkhand,Godda,Green,5836,3,5746,87
Jharkhand,Gumla,Green,9893,1,9854,38
Jharkhand,Hazaribagh,Orange,19581,3,19392,186
Jharkhand,Jamtara,Orange,5555,3,5492,60
Jharkhand,Khunti,Green,7783,10,7677,96
Jharkhand,Koderma,Orange,12871,18,12717,136
Jharkhand,Latehar,Green,7863,4,7802,57
Jharkhand,Lohardaga,Green,6689,6,6595,88
Jharkhand,Pakur,Green,2550,7,2531,12
Jharkhand,Palamu,Orange,12289,0,12179,110
Jharkhand,Ramgarh,Green,13896,11,13689,196
Jharkhand,Ranchi,Red,85440,62,83793,1585
Jharkhand,Sahibganj,Green,4816,3,4771,42
Jharkhand,Saraikela-Kharsawan,Green,7204,4,7133,67
Jharkhand,Simdega,Orange,7191,5,7094,92
Jharkhand,West Singhbhum,Green,13001,1,12867,133
Karnataka,Bagalkote,Orange,35121,39,34755,327
Karnataka,Ballari,Orange,97504,217,95602,1685
Karnataka,Belagavi,Orange,78627,390,77361,876
Karnataka,Bengaluru Rural,Red,61199,336,60002,861
Karnataka,Bengaluru Urban,Red,1231474,8291,1207260,15923
Karnataka,Bidar,Orange,24284,15,23873,396
Karnataka,Chamarajanagara,Green,32577,303,31789,485
Karnataka,Chikkaballapura,Orange,43776,93,43260,423
Karnataka,Chikkamagaluru,Green,49033,1059,47597,377
Karnataka,Chitradurga,Orange,36095,469,35434,192
Karnataka,Dakshina Kannada,Orange,104257,3484,99296,1477
Karnataka,Davanagere,Orange,50500,192,49718,590
Karnataka,Dharwad,Orange,60600,135,59176,1289
Karnataka,Gadag,Orange,26004,22,25666,316
Karnataka,Hassan,Orange,107826,1499,105134,1193
Karnataka,Haveri,Orange,21884,27,21226,631
Karnataka,Kalaburagi,Orange,61687,92,60777,818
Karnataka,Kodagu,Green,33974,727,32946,301
Karnataka,Kolar,Orange,45901,262,45039,600
Karnataka,Koppal,Green,35117,66,34533,518
Karnataka,Mandya,Orange,72492,405,71457,630
Karnataka,Mysuru,Red,174199,1174,170694,2331
Karnataka,Other State,,36,0,33,3
Karnataka,Raichur,Green,39900,30,39541,329
Karnataka,Ramanagara,Green,24050,93,23646,311
Karnataka,Shivamogga,Orange,67431,558,65810,1063
Karnataka,Tumakuru,Orange,118431,882,116469,1080
Karnataka,Udupi,Orange,71170,1427,69309,434
Karnataka,Uttara Kannada,Orange,54051,541,52783,727
Karnataka,Vijayapura,Orange,36174,35,35650,489
Karnataka,Yadgir,Green,27501,14,27281,206
Kerala,Alappuzha,Green,237133,8305,227678,1150
Kerala,Ernakulam,Green,430396,26990,401576,1830
Kerala,Idukki,Orange,96572,6226,90108,238
Kerala,Kannur,Red,199236,8898,189191,1147
Kerala,Kasaragod,Orange,114698,8750,105566,382
Kerala,Kollam,Orange,284264,2471,280404,1389
Kerala,Kottayam,Red,231995,8003,223230,762
Kerala,Kozhikode,Orange,387573,23314,362390,1869
Kerala,Malappuram,Orange,440734,28789,410437,1508
Kerala,Other State,,0,0,0,0
Kerala,Palakkad,Orange,269048,17705,249691,1652
Kerala,Pathanamthitta,Orange,136773,8309,127910,554
Kerala,Thiruvananthapuram,Orange,343093,9501,330216,3376
Kerala,Thrissur,Green,355009,11265,341779,1965
Kerala,Wayanad,Orange,83669,7952,75419,298
Ladakh,Kargil,Orange,3572,18,3496,58
Ladakh,Leh,Orange,16835,52,16634,149
Lakshadweep,Lakshadweep,Green,10268,83,10135,50
Lakshadweep,Unknown,,0,-1,0,1
Madhya Pradesh,Agar Malwa,Orange,3303,0,3235,68
Madhya Pradesh,Alirajpur,Orange,3501,0,3453,48
Madhya Pradesh,Anuppur,Green,9229,0,9140,89
Madhya Pradesh,Ashoknagar,Green,3670,0,3613,57
Madhya Pradesh,Balaghat,Green,9090,9,9017,64
Madhya Pradesh,Barwani,Red,8363,6,8267,90
Madhya Pradesh,Betul,Orange,12899,32,12590,277
Madhya Pradesh,Bhind,Green,2994,2,2960,32
Madhya Pradesh,Bhopal,Red,123323,230,122121,972
Madhya Pradesh,Burhanpur,Orange,2568,0,2529,39
Madhya Pradesh,Chhatarpur,Green,7607,10,7506,91
Madhya Pradesh,Chhindwara,Orange,6732,0,6612,120
Madhya Pradesh,Damoh,Green,8120,93,7841,186
Madhya Pradesh,Datia,Green,6958,6,6874,78
Madhya Pradesh,Dewas,Red,7723,0,7672,51
Madhya Pradesh,Dhar,Red,12533,15,12388,130
Madhya Pradesh,Dindori,Orange,4623,6,4588,29
Madhya Pradesh,Guna,Orange,5132,3,5085,44
Madhya Pradesh,Gwalior,Red,53092,32,52427,633
Madhya Pradesh,Harda,Orange,5055,5,4954,96
Madhya Pradesh,Hoshangabad,Orange,10680,11,10570,99
Madhya Pradesh,Indore,Red,153011,210,151410,1391
Madhya Pradesh,Jabalpur,Red,50641,75,49896,670
Madhya Pradesh,Jhabua,Green,7688,5,7619,64
Madhya Pradesh,Katni,Green,9365,3,9242,120
Madhya Pradesh,Khandwa,Red,4040,0,3946,94
Madhya Pradesh,Khargone,Orange,13965,10,13716,239
Madhya Pradesh,Mandla,Green,5187,3,5159,25
Madhya Pradesh,Mandsaur,Orange,8637,1,8552,84
Madhya Pradesh,Morena,Orange,8236,6,8135,95
Madhya Pradesh,Narsinghpur,Green,11200,4,11115,81
Madhya Pradesh,Neemuch,Orange,7924,12,7828,84
Madhya Pradesh,Niwari,Green,3711,9,3654,48
Madhya Pradesh,Other Region,,0,0,0,0
Madhya Pradesh,Panna,Green,7319,6,7250,63
Madhya Pradesh,Raisen,Orange,9233,9,9030,194
Madhya Pradesh,Rajgarh,Green,8700,38,8490,172
Madhya Pradesh,Ratlam,Orange,17854,31,17438,385
Madhya Pradesh,Rewa,Green,16431,6,16270,155
Madhya Pradesh,Sagar,Orange,16592,48,16154,390
Madhya Pradesh,Satna,Green,11965,3,11829,133
Madhya Pradesh,Sehore,Orange,10136,6,10057,73
Madhya Pradesh,Seoni,Green,6774,7,6739,28
Madhya Pradesh,Shahdol,Orange,10080,4,9958,118
Madhya Pradesh,Shajapur,Orange,6349,2,6273,74
Madhya Pradesh,Sheopur,Orange,3998,1,3919,78
Madhya Pradesh,Shivpuri,Green,12393,7,12261,125
Madhya Pradesh,Sidhi,Green,9219,0,9132,87
Madhya Pradesh,Singrauli,Green,8793,5,8706,82
Madhya Pradesh,Tikamgarh,Orange,6863,7,6742,114
Madhya Pradesh,Ujjain,Red,18896,4,18720,172
Madhya Pradesh,Umaria,Green,6293,6,6224,63
Madhya Pradesh,Unknown,,1384,-860,761,1483
Madhya Pradesh,Vidisha,Orange,11918,4,11677,237
Maharashtra,Ahmednagar,Orange,294758,5232,283222,6304
Maharashtra,Akola,Red,58638,42,57176,1420
Maharashtra,Amravati,Orange,96012,78,94297,1637
Maharashtra,Aurangabad,Red,154499,701,149600,4198
Maharashtra,Beed,Orange,99459,1685,95137,2637
Maharashtra,Bhandara,Orange,60038,10,58915,1113
Maharashtra,Buldhana,Orange,84828,83,83980,765
Maharashtra,Chandrapur,Orange,88688,79,87003,1606
Maharashtra,Dhule,Red,46270,12,45606,652
Maharashtra,Gadchiroli,Green,30288,50,29566,672
Maharashtra,Gondia,Green,40534,9,39957,568
Maharashtra,Hingoli,Orange,18419,79,17842,498
Maharashtra,Jalgaon,Red,139800,352,136786,2662
Maharashtra,Jalna,Orange,60314,176,58939,1199
Maharashtra,Kolhapur,Orange,199490,4432,189411,5647
Maharashtra,Latur,Orange,91166,505,88255,2406
Maharashtra,Mumbai,Red,738239,6621,715650,15968
Maharashtra,Mumbai Suburban,Red,0,0,0,0
Maharashtra,Nagpur,Red,493063,335,483591,9137
Maharashtra,Nanded,Orange,90649,63,87925,2661
Maharashtra,Nandurbar,Orange,39968,7,39013,948
Maharashtra,Nashik,Red,403658,840,394257,8561
Maharashtra,Osmanabad,Green,64970,1116,62021,1833
Maharashtra,Other State,,146,30,0,116
Maharashtra,Palghar,Red,133835,700,129915,3220
Maharashtra,Parbhani,Orange,52279,266,50793,1220
Maharashtra,Pune,Red,1099851,14725,1066447,18679
Maharashtra,Raigad,Orange,185702,1887,179549,4266
Maharashtra,Ratnagiri,Orange,73420,1755,69522,2143
Maharashtra,Sangli,Orange,192215,6973,180025,5217
Maharashtra,Satara,Red,226151,6266,214414,5471
Maharashtra,Sindhudurg,Orange,49379,1455,46665,1259
Maharashtra,Solapur,Red,194066,5303,183777,4986
Maharashtra,Thane,Red,592025,5935,574998,11092
Maharashtra,Wardha,Green,58342,176,56962,1204
Maharashtra,Washim,Green,41623,23,40983,617
Maharashtra,Yavatmal,Red,76220,17,74421,1782
Manipur,Bishnupur,Green,7897,7685,58,154
Manipur,CAPF Personnel,,3251,1568,1681,2
Manipur,Chandel,Green,1718,1684,4,30
Manipur,Churachandpur,Green,8377,8181,58,138
Manipur,Imphal East,Green,22898,22367,150,381
Manipur,Imphal West,Green,34490,33914,52,524
Manipur,Jiribam,Green,873,865,2,6
Manipur,Kakching,Green,5740,5612,27,101
Manipur,Kamjong,Green,540,520,17,3
Manipur,Kangpokpi,Green,1897,1828,19,50
Manipur,Noney,Green,838,816,18,4
Manipur,Pherzawl,Green,270,255,15,0
Manipur,Senapati,Green,1662,1635,21,6
Manipur,Tamenglong,Green,2783,2740,32,11
Manipur,Tengnoupal,Green,844,821,13,10
Manipur,Thoubal,Green,8532,8369,23,140
Manipur,Ukhrul,Green,1572,1533,18,21
Manipur,Unknown,,1848,-93536,95291,93
Meghalaya,East Garo Hills,Green,1761,56,1696,9
Meghalaya,East Jaintia Hills,Green,2228,63,2137,28
Meghalaya,East Khasi Hills,Orange,34271,1981,31453,837
Meghalaya,North Garo Hills,Green,1622,54,1560,8
Meghalaya,Ribhoi,Green,8344,437,7841,66
Meghalaya,South Garo Hills,Green,1154,45,1098,11
Meghalaya,South West Garo Hills,Green,1792,48,1729,15
Meghalaya,South West Khasi Hills,Green,1951,219,1720,12
Meghalaya,West Garo Hills,Green,8461,524,7872,65
Meghalaya,West Jaintia Hills,Green,5599,443,5051,105
Meghalaya,West Khasi Hills,Green,3049,626,2384,39
Mizoram,Aizawl,Green,31751,8728,22888,135
Mizoram,Champhai,Green,700,209,490,1
Mizoram,Hnahthial,Green,116,13,103,0
Mizoram,Khawzawl,Green,109,1,108,0
Mizoram,Kolasib,Green,3809,940,2852,17
Mizoram,Lawngtlai,Green,2821,363,2450,8
Mizoram,Lunglei,Green,3534,515,3016,3
Mizoram,Mamit,Green,1462,429,1031,2
Mizoram,Saiha,Green,942,183,758,1
Mizoram,Saitual,Green,222,15,205,2
Mizoram,Serchhip,Green,854,18,833,3
Nagaland,Dimapur,Green,13335,1000,11973,362
Nagaland,Kiphire,Green,228,15,205,8
Nagaland,Kohima,Green,8765,496,8167,102
Nagaland,Longleng,Green,262,51,209,2
Nagaland,Mokokchung,Green,1950,275,1627,48
Nagaland,Mon,Green,1098,39,1046,13
Nagaland,Others,,0,0,0,0
Nagaland,Peren,Green,873,97,773,3
Nagaland,Phek,Green,476,15,444,17
Nagaland,Tuensang,Green,985,70,904,11
Nagaland,Wokha,Green,326,50,265,11
Nagaland,Zunheboto,Green,577,75,488,14
Odisha,Angul,Red,43056,212,42565,279
Odisha,Balangir,Orange,23218,36,23070,112
Odisha,Balasore,Red,38584,526,37831,227
Odisha,Bargarh,Green,30775,62,30407,306
Odisha,Bhadrak,Red,25719,310,25311,98
Odisha,Boudh,Green,12528,20,12402,106
Odisha,Cuttack,Green,88249,1209,86580,460
Odisha,Deogarh,Orange,6213,30,6141,42
Odisha,Dhenkanal,Orange,19231,158,18939,134
Odisha,Gajapati,Green,9531,16,9432,83
Odisha,Ganjam,Red,33502,38,32994,470
Odisha,Jagatsinghpur,Orange,26084,496,25478,110
Odisha,Jajpur,Red,41724,533,41106,85
Odisha,Jharsuguda,Orange,23624,27,23429,168
Odisha,Kalahandi,Orange,24172,33,23936,203
Odisha,Kandhamal,Green,11397,73,11243,81
Odisha,Kendrapara,Orange,23736,256,23325,155
Odisha,Kendujhar,Orange,20534,114,20273,147
Odisha,Khordha,Orange,153972,3456,149151,1365
Odisha,Koraput,Orange,18883,48,18762,73
Odisha,Malkangiri,Green,11522,41,11433,48
Odisha,Mayurbhanj,Orange,39008,294,38480,234
Odisha,Nabarangapur,Green,23472,21,23385,66
Odisha,Nayagarh,Orange,22829,249,22414,166
Odisha,Nuapada,Green,22812,23,22706,83
Odisha,Others,,0,0,0,0
Odisha,Puri,Green,44013,425,43180,408
Odisha,Rayagada,Green,19887,101,19625,161
Odisha,Sambalpur,Green,30621,99,30327,195
Odisha,State Pool,,27180,762,26418,0
Odisha,Subarnapur,Green,13098,50,13000,48
Odisha,Sundargarh,Orange,60901,95,60236,570
Puducherry,Karaikal,Green,15157,119,14807,231
Puducherry,Mahe,Green,4977,143,4796,38
Puducherry,Puducherry,Orange,95120,581,93112,1427
Puducherry,Yanam,Green,6626,23,6498,105
Punjab,Amritsar,Orange,47118,32,45499,1587
Punjab,Barnala,Orange,5912,14,5656,242
Punjab,Bathinda,Orange,41547,34,40474,1039
Punjab,Faridkot,Orange,13836,8,13515,313
Punjab,Fatehgarh Sahib,Orange,8797,7,8499,291
Punjab,Fazilka,Green,20184,44,19614,526
Punjab,Ferozepur,Orange,14245,13,13733,499
Punjab,Gurdaspur,Orange,22246,9,21440,797
